source	pathway_id	pathway_name	bg_eligible_genes
GO_BP	GO:0002260	lymphocyte homeostasis	3
GO_BP	GO:0002262	myeloid cell homeostasis	2
GO_BP	GO:0002263	cell activation involved in immune response	1
GO_BP	GO:0002264	endothelial cell activation involved in immune response	1
GO_BP	GO:0002265	astrocyte activation involved in immune response	4
GO_BP	GO:0002270	plasmacytoid dendritic cell activation	1
GO_BP	GO:0002273	plasmacytoid dendritic cell differentiation	1
GO_BP	GO:0002274	myeloid leukocyte activation	1
GO_BP	GO:0002276	basophil activation involved in immune response	2
GO_BP	GO:0002277	myeloid dendritic cell activation involved in immune response	2
GO_BP	GO:0002280	monocyte activation involved in immune response	1
GO_BP	GO:0002281	macrophage activation involved in immune response	6
GO_BP	GO:0002282	microglial cell activation involved in immune response	4
GO_BP	GO:0002283	neutrophil activation involved in immune response	3
GO_BP	GO:0002286	T cell activation involved in immune response	4
GO_BP	GO:0002291	T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell	5
GO_BP	GO:0002309	T cell proliferation involved in immune response	1
GO_BP	GO:0002312	B cell activation involved in immune response	1
GO_BP	GO:0002313	mature B cell differentiation involved in immune response	1
GO_BP	GO:0002314	germinal center B cell differentiation	1
GO_BP	GO:0002315	marginal zone B cell differentiation	6
GO_BP	GO:0002317	plasma cell differentiation	1
GO_BP	GO:0002318	myeloid progenitor cell differentiation	2
GO_BP	GO:0002320	lymphoid progenitor cell differentiation	2
GO_BP	GO:0002322	B cell proliferation involved in immune response	1
GO_BP	GO:0002326	B cell lineage commitment	1
GO_BP	GO:0002327	immature B cell differentiation	4
GO_BP	GO:0002328	pro-B cell differentiation	3
GO_BP	GO:0002329	pre-B cell differentiation	1
GO_BP	GO:0002331	pre-B cell allelic exclusion	1
GO_BP	GO:0002357	defense response to tumor cell	9
GO_BP	GO:0002362	CD4-positive, CD25-positive, alpha-beta regulatory T cell lineage commitment	1
GO_BP	GO:0002364	NK T cell lineage commitment	1
GO_BP	GO:0002366	leukocyte activation involved in immune response	1
GO_BP	GO:0002376	immune system process	5
GO_BP	GO:0002384	hepatic immune response	1
GO_BP	GO:0002385	mucosal immune response	1
GO_BP	GO:0002394	tolerance induction in gut-associated lymphoid tissue	4
GO_BP	GO:0002407	dendritic cell chemotaxis	7
GO_BP	GO:0002418	immune response to tumor cell	1
GO_BP	GO:0002430	complement receptor mediated signaling pathway	7
GO_BP	GO:0002431	Fc receptor mediated stimulatory signaling pathway	1
GO_BP	GO:0002432	granuloma formation	1
GO_BP	GO:0002434	immune complex clearance	1
GO_BP	GO:0002437	inflammatory response to antigenic stimulus	2
GO_BP	GO:0002446	neutrophil mediated immunity	6
GO_BP	GO:0002455	humoral immune response mediated by circulating immunoglobulin	1
GO_BP	GO:0002456	T cell mediated immunity	1
GO_BP	GO:0002457	T cell antigen processing and presentation	1
GO_BP	GO:0002467	germinal center formation	2
GO_BP	GO:0002474	antigen processing and presentation of peptide antigen via MHC class I	3
GO_BP	GO:0002479	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-dependent	2
GO_BP	GO:0002480	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent	1
GO_BP	GO:0002495	antigen processing and presentation of peptide antigen via MHC class II	1
GO_BP	GO:0002502	peptide antigen assembly with MHC class I protein complex	3
GO_BP	GO:0002505	antigen processing and presentation of polysaccharide antigen via MHC class II	1
GO_BP	GO:0002508	central tolerance induction	1
GO_BP	GO:0002513	tolerance induction to self antigen	1
GO_BP	GO:0002519	natural killer cell tolerance induction	1
GO_BP	GO:0002520	immune system development	1
GO_BP	GO:0002521	leukocyte differentiation	3
GO_BP	GO:0002522	leukocyte migration involved in immune response	1
GO_BP	GO:0002523	leukocyte migration involved in inflammatory response	3
GO_BP	GO:0002528	regulation of vascular permeability involved in acute inflammatory response	1
GO_BP	GO:0002532	production of molecular mediator involved in inflammatory response	1
GO_BP	GO:0002541	activation of plasma proteins involved in acute inflammatory response	1
GO_BP	GO:0002543	activation of blood coagulation via clotting cascade	2
GO_BP	GO:0002544	chronic inflammatory response	1
GO_BP	GO:0002548	monocyte chemotaxis	7
GO_BP	GO:0002551	mast cell chemotaxis	2
GO_BP	GO:0002553	histamine secretion by mast cell	1
GO_BP	GO:0002554	serotonin secretion by platelet	1
GO_BP	GO:0002572	pro-T cell differentiation	1
GO_BP	GO:0002573	myeloid leukocyte differentiation	2
GO_BP	GO:0002575	basophil chemotaxis	1
GO_BP	GO:0002576	platelet degranulation	4
GO_BP	GO:0002577	regulation of antigen processing and presentation	2
GO_BP	GO:0002581	negative regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II	1
GO_BP	GO:0002588	positive regulation of antigen processing and presentation of peptide antigen via MHC class II	2
GO_BP	GO:0002590	negative regulation of antigen processing and presentation of peptide antigen via MHC class I	1
GO_BP	GO:0002605	negative regulation of dendritic cell antigen processing and presentation	1
GO_BP	GO:0002606	positive regulation of dendritic cell antigen processing and presentation	2
GO_BP	GO:0002625	regulation of T cell antigen processing and presentation	1
GO_BP	GO:0002634	regulation of germinal center formation	3
GO_BP	GO:0002635	negative regulation of germinal center formation	2
GO_BP	GO:0002639	positive regulation of immunoglobulin production	10
GO_BP	GO:0002651	positive regulation of tolerance induction to self antigen	1
GO_BP	GO:0002663	positive regulation of B cell tolerance induction	1
GO_BP	GO:0002666	positive regulation of T cell tolerance induction	1
GO_BP	GO:0002673	regulation of acute inflammatory response	1
GO_BP	GO:0002674	negative regulation of acute inflammatory response	1
GO_BP	GO:0002679	respiratory burst involved in defense response	2
GO_BP	GO:0002682	regulation of immune system process	20
GO_BP	GO:0002683	negative regulation of immune system process	1
GO_BP	GO:0002685	regulation of leukocyte migration	1
GO_BP	GO:0002686	negative regulation of leukocyte migration	1
GO_BP	GO:0002687	positive regulation of leukocyte migration	3
GO_BP	GO:0002689	negative regulation of leukocyte chemotaxis	1
GO_BP	GO:0002690	positive regulation of leukocyte chemotaxis	5
GO_BP	GO:0002693	positive regulation of cellular extravasation	4
GO_BP	GO:0002695	negative regulation of leukocyte activation	2
GO_BP	GO:0002711	positive regulation of T cell mediated immunity	1
