node_index,gene_id,gene_symbol,graph_degree
12780,ENSG00000181852,RNF41,5
12781,ENSG00000181856,SLC2A4,3
12782,ENSG00000181867,FTMT,0
12783,ENSG00000181873,IBA57,1
12784,ENSG00000181885,CLDN7,21
12785,ENSG00000181894,ZNF329,0
12786,ENSG00000181904,C5orf24,0
12787,ENSG00000181915,ADO,0
12788,ENSG00000181924,COA4,0
12789,ENSG00000181929,PRKAG1,7
12790,ENSG00000181938,GINS3,21
12791,ENSG00000181958,OR4A15,0
12792,ENSG00000181965,NEUROG1,0
12793,ENSG00000181982,CCDC149,0
12794,ENSG00000181991,MRPS11,116
12795,ENSG00000182004,SNRPE,145
12796,ENSG00000182010,RTKN2,0
12797,ENSG00000182013,PNMA8A,0
12798,ENSG00000182022,CHST15,0
12799,ENSG00000182035,ADIG,0
12800,ENSG00000182040,USH1G,4
12801,ENSG00000182050,MGAT4C,0
12802,ENSG00000182054,IDH2,3
12803,ENSG00000182077,PTCHD3,0
12804,ENSG00000182087,TMEM259,1
12805,ENSG00000182095,TNRC18,0
12806,ENSG00000182103,FAM181B,1
12807,ENSG00000182107,TMEM30B,7
12808,ENSG00000182108,DEXI,0
12809,ENSG00000182117,NOP10,32
12810,ENSG00000182118,FAM89A,0
12811,ENSG00000182132,KCNIP1,7
12812,ENSG00000182134,TDRKH,5
12813,ENSG00000182149,IST1,16
12814,ENSG00000182154,MRPL41,101
12815,ENSG00000182156,ENPP7,6
12816,ENSG00000182158,CREB3L2,16
12817,ENSG00000182168,UNC5C,6
12818,ENSG00000182170,MRGPRG,0
12819,ENSG00000182173,TSEN54,7
12820,ENSG00000182175,RGMA,7
12821,ENSG00000182177,ASB18,0
12822,ENSG00000182179,UBA7,8
12823,ENSG00000182180,MRPS16,101
12824,ENSG00000182183,SHISAL2A,0
12825,ENSG00000182185,RAD51B,7
12826,ENSG00000182187,CRYGB,0
12827,ENSG00000182195,LDOC1,0
12828,ENSG00000182196,ARL6IP4,0
12829,ENSG00000182197,EXT1,1
12830,ENSG00000182199,SHMT2,6
12831,ENSG00000182208,MOB2,2
12832,ENSG00000182218,HHIPL1,0
12833,ENSG00000182220,ATP6AP2,28
12834,ENSG00000182224,CYB5D1,0
12835,ENSG00000182240,BACE2,2
12836,ENSG00000182247,UBE2E2,6
12837,ENSG00000182253,SYNM,5
12838,ENSG00000182255,KCNA4,6
12839,ENSG00000182256,GABRG3,8
12840,ENSG00000182261,NLRP10,0
12841,ENSG00000182263,FIGN,0
12842,ENSG00000182271,TMIGD1,0
12843,ENSG00000182272,B4GALNT4,1
12844,ENSG00000182287,AP1S2,26
12845,ENSG00000182307,C8orf33,0
12846,ENSG00000182310,SPACA6,0
12847,ENSG00000182318,ZSCAN22,0
12848,ENSG00000182324,KCNJ14,7
12849,ENSG00000182325,FBXL6,1
12850,ENSG00000182327,GLTPD2,0
12851,ENSG00000182329,KIAA2012,0
12852,ENSG00000182333,LIPF,6
12853,ENSG00000182348,ZNF804B,0
12854,ENSG00000182359,KBTBD3,0
12855,ENSG00000182362,YBEY,1
12856,ENSG00000182372,CLN8,0
12857,ENSG00000182378,PLCXD1,0
12858,ENSG00000182379,NXPH4,0
12859,ENSG00000182389,CACNB4,27
12860,ENSG00000182400,TRAPPC6B,12
12861,ENSG00000182446,NPLOC4,20
12862,ENSG00000182447,OTOL1,0
12863,ENSG00000182450,KCNK4,1
12864,ENSG00000182463,TSHZ2,0
12865,ENSG00000182472,CAPN12,0
12866,ENSG00000182473,EXOC7,14
12867,ENSG00000182489,XKRX,0
12868,ENSG00000182492,BGN,16
12869,ENSG00000182504,CEP97,2
12870,ENSG00000182508,LHFPL1,0
12871,ENSG00000182511,FES,2
12872,ENSG00000182512,GLRX5,3
12873,ENSG00000182521,TBPL2,7
12874,ENSG00000182533,CAV3,32
12875,ENSG00000182541,LIMK2,1
12876,ENSG00000182544,MFSD5,0
12877,ENSG00000182545,RNASE10,0
12878,ENSG00000182551,ADI1,1
12879,ENSG00000182552,RWDD4,0
12880,ENSG00000182557,SPNS3,0
12881,ENSG00000182566,CLEC4G,2
12882,ENSG00000182568,SATB1,2
12883,ENSG00000182575,NXPH3,0
12884,ENSG00000182578,CSF1R,10
12885,ENSG00000182580,EPHB3,5
12886,ENSG00000182585,EPGN,2
12887,ENSG00000182591,KRTAP11-1,0
12888,ENSG00000182600,SNORC,0
